,steel,carbon,hardness,condition,formability,strength,surface_quality,shape,thick,width,len,bore,target
411,A,0,0,,,500,G,SHEET,2.0,609.9,301,0,2
412,A,0,85,,,0,G,COIL,1.201,610.0,0,0,U
413,A,0,0,A,1,0,E,COIL,0.799,249.9,0,0,5
414,A,0,0,S,2,0,E,SHEET,0.3,610.0,762,0,3
415,A,0,45,S,,0,D,SHEET,0.599,1320.0,761,0,3
416,W,0,0,,,310,G,SHEET,1.6,610.0,762,0,3
417,A,0,0,S,2,0,E,COIL,0.699,1320.0,0,0,3
418,K,55,0,,,0,E,COIL,1.09,610.0,0,0,3
419,K,65,0,,,0,E,COIL,0.8,900.0,0,0,3
420,A,0,0,,,500,G,COIL,1.6,1320.0,0,0,3
421,V,0,0,S,2,0,E,SHEET,1.599,1320.0,762,0,2
422,A,0,0,S,2,0,E,SHEET,3.2,1320.0,4880,0,3
423,A,0,0,A,2,0,G,COIL,0.301,20.0,0,0,3
424,A,0,0,S,3,0,E,SHEET,0.7,335.0,612,0,3
425,A,0,0,S,2,0,E,SHEET,0.699,1320.0,762,0,3
426,A,0,45,S,,0,D,SHEET,0.699,1220.0,761,0,3
427,K,55,0,,,0,E,COIL,1.09,900.0,0,0,3
428,A,0,60,,,0,G,SHEET,0.801,255.1,269,0,3
429,A,0,85,,,0,E,SHEET,1.2,600.0,150,0,U
430,A,0,0,S,2,0,G,SHEET,0.699,610.0,762,0,3
431,R,0,0,S,3,0,E,SHEET,1.6,831.9,881,0,2
432,R,0,0,A,2,0,G,COIL,0.699,20.0,0,0,3
433,A,0,0,S,2,0,E,COIL,0.321,610.0,0,0,3
434,W,0,0,,,310,G,SHEET,0.8,1275.0,4880,0,3
435,A,0,0,S,2,0,F,SHEET,0.699,1220.0,4880,0,3
436,R,0,0,S,2,0,E,SHEET,0.699,595.0,762,0,3
437,K,55,0,,,0,E,COIL,2.2,900.0,0,0,3
438,A,0,0,S,5,0,E,COIL,1.201,50.0,0,0,3
439,R,0,0,S,2,0,E,SHEET,1.2,335.0,3000,0,2
440,M,0,0,,,350,G,COIL,1.4,1310.0,0,0,3
441,R,0,0,S,2,0,E,SHEET,0.8,610.0,762,0,2
442,R,0,0,S,2,0,E,COIL,4.0,610.0,0,600,3
443,A,0,0,,3,0,F,SHEET,0.5,610.0,762,0,5
444,A,0,60,,,0,G,COIL,2.8,610.0,0,600,3
445,A,0,0,S,2,0,G,COIL,0.799,1300.0,0,0,3
446,R,0,0,S,2,0,E,SHEET,1.6,1500.0,612,0,2
447,R,0,0,S,2,0,E,SHEET,1.2,609.9,4170,0,3
448,A,0,0,S,2,0,E,COIL,3.201,152.0,0,0,3
449,A,0,0,S,3,0,E,SHEET,0.601,1320.0,4880,0,3
450,A,0,0,S,2,0,G,SHEET,0.4,1320.0,4880,0,3
451,R,0,0,S,2,0,E,SHEET,0.7,610.0,762,0,3
452,A,0,0,S,3,0,E,SHEET,1.0,1320.0,762,0,3
453,A,0,80,,,0,G,SHEET,1.6,1320.0,612,0,U
454,A,0,0,,,500,G,COIL,1.6,1525.0,0,0,3
455,R,0,0,S,3,0,E,SHEET,2.0,610.0,4170,0,2
456,A,0,0,S,1,0,G,COIL,0.799,20.0,0,0,3
457,R,0,0,S,2,0,E,SHEET,0.8,1300.0,762,0,2
458,A,0,0,,3,0,F,SHEET,0.6,610.0,300,0,5
459,A,0,0,A,1,0,E,COIL,1.6,610.0,0,0,5
460,A,0,0,S,2,0,E,SHEET,0.699,1320.0,762,0,3
461,A,0,70,,,0,G,COIL,2.5,610.0,0,600,3
462,A,0,50,,,0,E,COIL,0.451,20.0,0,0,3
463,R,0,0,S,2,0,E,SHEET,0.8,1500.0,4170,0,2
464,R,0,0,S,2,0,E,SHEET,0.699,1320.0,761,0,3
465,A,0,0,S,2,0,E,SHEET,3.201,1320.0,4880,0,3
466,A,0,0,S,2,0,F,SHEET,0.6,300.1,762,0,3
467,A,4,0,,,0,G,COIL,0.5,25.0,0,0,3
468,R,0,0,S,2,0,E,COIL,3.5,1000.0,0,600,3
469,A,0,0,S,2,0,F,SHEET,0.6,609.9,4880,0,3
470,A,0,70,,,0,G,COIL,0.8,50.0,0,0,3
471,R,0,0,S,2,0,E,COIL,1.6,1320.0,0,0,3
472,A,0,0,S,1,0,G,COIL,0.3,609.9,0,0,3
473,R,0,0,S,3,0,E,SHEET,1.6,609.9,612,0,3
474,A,0,0,S,3,0,F,SHEET,0.6,610.0,4170,0,3
475,A,0,50,,,0,G,COIL,3.2,610.0,0,0,3
476,A,0,70,,,0,G,COIL,0.6,610.0,0,0,3
477,A,0,45,S,,0,D,COIL,0.7,1320.0,0,0,3
478,A,0,60,,,0,G,COIL,4.0,385.1,0,0,3
479,A,0,70,,,0,G,COIL,0.6,1320.0,0,600,3
480,K,45,0,,,0,E,COIL,2.2,640.0,0,0,3
481,A,0,0,S,2,0,G,COIL,0.699,20.0,0,0,3
482,A,0,0,S,2,0,E,COIL,0.699,1320.0,0,0,3
483,A,0,0,S,2,0,G,SHEET,1.2,609.9,614,0,3
484,A,0,0,S,3,0,E,SHEET,1.0,1320.0,4880,0,3
485,A,0,0,S,3,0,E,COIL,1.2,609.9,0,0,5
486,K,65,0,,,0,E,COIL,1.0,610.0,0,0,3
487,K,55,0,,,0,E,COIL,1.5,900.0,0,0,3
488,K,45,0,,,0,E,COIL,3.2,900.0,0,0,3
489,A,0,0,S,2,0,E,SHEET,0.699,610.0,762,0,3
490,R,0,0,A,2,0,G,COIL,0.699,609.9,0,0,3
491,A,0,0,S,3,0,E,COIL,0.699,610.0,0,0,3
492,R,0,0,S,2,0,E,SHEET,0.3,1320.0,762,0,3
493,W,0,0,,,310,G,SHEET,2.501,1275.0,4880,0,3
494,A,0,85,,,0,E,SHEET,1.0,1220.0,762,0,U
495,A,0,45,S,,0,D,SHEET,0.7,610.0,759,0,3
496,A,0,45,S,,0,D,SHEET,0.7,609.9,3000,0,3
497,A,0,85,,,0,G,SHEET,3.2,200.1,4880,0,U
498,A,0,0,S,2,0,E,COIL,0.4,609.9,0,0,3
499,A,0,0,,3,0,F,SHEET,0.6,335.0,3000,0,5
500,A,0,50,,,0,E,SHEET,0.6,1250.0,4880,0,3
501,R,0,0,S,2,0,E,SHEET,0.7,1300.0,762,0,3
502,A,0,0,,3,0,F,SHEET,0.6,610.0,612,0,5
503,R,0,0,S,2,0,E,SHEET,3.2,610.0,4880,0,3
504,A,0,0,S,1,0,G,SHEET,0.3,610.0,762,0,3
505,A,0,0,S,3,0,E,COIL,0.6,609.0,0,0,3
506,A,0,85,,,0,E,SHEET,1.2,1200.0,150,0,U
507,A,0,85,,,0,G,COIL,1.2,609.9,0,0,U
508,A,0,0,S,3,0,E,SHEET,0.7,609.9,4170,0,3
509,R,0,0,S,2,0,E,SHEET,1.599,1300.0,4880,0,2
510,A,0,0,S,2,0,E,COIL,0.699,20.0,0,0,3
511,R,0,0,S,2,0,E,COIL,0.699,1320.0,0,0,3
512,A,0,0,S,1,0,G,SHEET,0.3,1300.0,762,0,3
513,R,0,0,S,2,0,E,SHEET,1.2,1320.0,4170,0,3
514,A,0,0,S,2,0,F,SHEET,0.6,520.0,4880,0,3
515,A,0,0,S,2,0,G,COIL,0.3,610.0,0,0,3
516,A,0,0,S,2,0,F,SHEET,0.6,610.0,4880,0,3
517,A,0,0,S,2,0,E,SHEET,0.7,610.0,762,0,3
518,A,0,0,S,3,0,E,SHEET,0.601,610.0,4880,0,3
519,A,0,0,A,1,0,E,SHEET,1.6,610.0,762,0,5
520,A,0,0,S,2,0,E,COIL,0.6,609.9,0,0,3
521,A,0,45,S,,0,D,SHEET,0.3,519.9,762,0,3
522,R,0,0,S,3,0,E,COIL,1.0,75.0,0,0,3
523,K,55,0,,,0,G,COIL,2.3,900.0,0,500,3
524,A,0,0,S,2,0,E,SHEET,0.3,610.0,4880,0,3
525,A,0,60,,,0,G,SHEET,0.8,356.1,762,0,3
526,R,0,0,S,2,0,E,SHEET,0.8,1300.0,4880,0,2
527,A,0,85,,,0,G,COIL,3.201,190.0,0,0,U
528,W,0,0,,,310,G,COIL,2.501,600.1,0,0,3
529,A,0,0,S,2,0,F,SHEET,0.999,610.0,762,0,3
530,A,0,0,,3,0,E,COIL,1.2,609.9,0,0,5
531,A,0,60,,,0,G,COIL,0.799,609.9,0,0,3
532,R,0,0,S,2,0,E,SHEET,0.699,610.0,150,0,3
533,V,0,0,S,2,0,G,COIL,0.7,1320.0,0,0,3
534,K,45,0,,,0,E,COIL,1.5,640.0,0,0,3
535,A,0,0,,,500,G,COIL,1.6,610.0,0,0,3
536,R,0,0,S,2,0,E,SHEET,3.2,1320.0,762,0,3
537,A,0,0,S,1,0,G,SHEET,0.301,500.0,4120,0,3
538,K,45,0,,,0,E,COIL,3.2,900.0,0,0,3
539,A,0,45,S,,0,E,SHEET,0.7,1320.0,762,0,3
540,R,0,0,S,2,0,E,SHEET,2.0,610.0,4170,0,2
541,K,65,0,,,0,E,COIL,1.0,610.0,0,0,3
542,K,65,0,,,0,E,COIL,2.3,640.0,0,500,3
543,R,0,0,S,2,0,E,SHEET,1.6,610.0,612,0,2
544,R,0,0,S,3,0,E,SHEET,0.8,610.0,762,0,2
545,A,0,0,S,2,0,F,SHEET,0.6,520.0,762,0,3
546,A,0,0,S,5,0,E,COIL,0.8,609.9,0,0,3
547,A,0,0,,3,0,E,COIL,1.6,600.1,0,0,5
548,V,0,0,S,2,0,G,SHEET,0.8,1320.0,4880,0,2
549,R,0,0,S,2,0,E,SHEET,1.601,610.0,762,0,3
550,R,0,0,S,2,0,E,SHEET,0.7,1320.0,762,0,3
551,A,0,0,,3,0,E,SHEET,1.6,1220.0,612,0,5
552,A,0,45,S,,0,D,SHEET,0.699,610.0,4880,0,3
553,A,0,0,S,2,0,F,SHEET,0.6,609.9,762,0,3
554,A,0,0,S,5,0,E,COIL,0.7,20.0,0,0,3
555,R,0,0,S,2,0,E,COIL,0.8,1320.0,0,0,2
556,R,0,0,S,2,0,E,COIL,0.8,609.9,0,0,3
557,A,0,0,S,3,0,E,COIL,0.601,610.0,0,0,3
558,R,0,0,S,2,0,E,SHEET,0.8,610.0,762,0,2
559,W,0,0,,,310,G,SHEET,1.599,1275.0,762,0,3
560,A,0,0,S,1,0,G,SHEET,0.4,1220.0,4170,0,3
561,A,0,0,S,3,0,E,COIL,0.799,20.0,0,0,3
562,K,45,0,,,0,E,COIL,1.5,640.0,0,0,3
563,R,6,0,,,0,E,SHEET,1.0,1320.0,762,0,3
564,R,0,0,S,2,0,E,SHEET,1.599,610.0,762,0,3
565,K,45,0,,,0,E,COIL,3.2,900.0,0,600,3
566,A,0,0,S,2,0,E,COIL,0.301,610.0,0,0,3
567,A,0,0,,3,0,F,SHEET,0.6,609.9,1,0,5
568,A,0,0,S,3,0,E,SHEET,0.7,609.9,612,0,3
569,A,0,50,,,0,E,COIL,0.3,1250.0,0,0,3
570,A,0,50,,,0,E,COIL,0.3,610.0,0,0,3
571,A,0,0,,,500,G,SHEET,2.0,300.1,301,0,2
572,R,0,0,S,2,0,E,SHEET,1.599,1300.0,762,0,3
573,A,0,0,S,2,0,G,SHEET,0.7,610.0,4880,0,3
574,A,0,0,S,2,0,E,COIL,1.2,599.9,0,0,3
575,A,0,60,,,0,G,SHEET,0.8,356.1,4880,0,3
576,R,0,0,S,2,0,E,SHEET,1.601,610.0,4880,0,3
577,A,0,85,,,0,E,SHEET,0.4,600.0,611,0,U
578,R,0,0,A,3,0,G,COIL,0.601,610.0,0,0,3
579,A,0,0,S,2,0,G,COIL,0.699,20.0,0,0,3
580,A,0,0,S,3,0,F,SHEET,1.2,610.0,762,0,3
581,A,0,0,S,3,0,E,COIL,0.6,610.0,0,0,3
582,A,0,60,,,0,G,SHEET,0.801,356.0,762,0,3
583,W,0,0,,,310,G,SHEET,2.5,610.0,762,0,3
584,R,0,0,S,2,0,E,SHEET,0.699,609.0,612,0,3
585,A,0,0,S,2,0,G,COIL,3.2,610.0,0,0,3
586,A,0,0,,,500,G,SHEET,2.0,300.1,301,0,2
587,A,0,0,S,3,0,G,COIL,1.0,1320.0,0,0,3
588,A,0,0,,,500,G,SHEET,1.6,610.0,762,0,2
589,A,0,0,S,2,0,F,SHEET,0.6,1320.0,301,0,3
590,A,0,0,S,2,0,E,COIL,3.2,609.9,0,0,3
591,A,0,45,S,,0,D,COIL,0.7,610.0,0,0,3
592,A,0,85,,,0,G,COIL,1.001,609.9,0,0,U
593,A,0,0,S,2,0,F,SHEET,0.699,519.0,762,0,3
594,K,65,0,,,0,G,COIL,3.0,65.1,0,0,3
595,R,0,0,S,2,0,E,SHEET,1.599,610.0,4170,0,3
596,A,0,0,S,2,0,E,SHEET,0.7,609.9,4880,0,3
597,A,0,50,,,0,G,COIL,0.6,610.0,0,0,3
598,A,0,0,S,2,0,E,SHEET,0.7,1320.0,762,0,3
599,R,0,0,S,3,0,E,SHEET,0.8,1320.0,761,0,2
600,K,45,0,,,0,G,COIL,0.6,610.0,0,0,3
601,R,0,0,S,2,0,E,COIL,0.7,1220.0,0,0,3
602,A,0,0,S,2,0,F,SHEET,0.6,520.0,762,0,3
603,A,0,45,S,,0,D,SHEET,0.3,1320.0,762,0,3
604,A,0,0,S,2,0,G,SHEET,0.4,1320.0,762,0,3
605,A,0,0,A,1,0,F,SHEET,0.5,1220.0,4880,0,5
606,A,0,0,S,2,0,G,COIL,3.201,0.0,0,0,3
607,R,0,0,A,2,0,G,COIL,0.699,1250.0,0,0,3
608,K,55,0,,,0,E,COIL,3.2,640.0,0,600,3
609,A,0,0,A,1,0,E,COIL,0.8,50.0,0,0,5
610,A,0,0,S,3,0,E,SHEET,1.0,610.0,762,0,3
611,A,0,0,S,3,0,E,COIL,1.6,609.9,0,0,5
612,A,0,60,,,0,G,COIL,0.799,20.0,0,0,3
613,R,0,0,S,3,0,E,COIL,0.601,610.0,0,0,3
614,A,0,0,S,1,0,G,SHEET,0.3,1320.0,762,0,3
615,A,0,85,,,0,G,COIL,0.4,609.9,0,0,U
616,R,0,0,S,2,0,E,SHEET,0.7,610.0,762,0,3
617,A,0,0,S,2,0,F,SHEET,0.6,610.0,761,0,3
618,A,0,0,S,2,0,G,COIL,0.699,609.9,0,0,3
619,A,0,80,,,0,G,COIL,0.5,28.0,0,0,3
620,A,0,0,S,2,0,G,SHEET,0.7,610.0,4170,0,3
621,A,0,45,S,,0,D,SHEET,0.4,1220.0,761,0,3
622,R,0,0,S,2,0,E,SHEET,0.4,610.0,150,0,3
623,R,0,0,S,2,0,E,SHEET,3.2,610.0,762,0,3
624,A,0,0,S,1,0,G,SHEET,0.3,610.0,761,0,3
625,A,0,85,,,0,G,COIL,4.0,1000.0,0,600,U
626,R,6,0,,,0,E,SHEET,1.0,610.0,4880,0,3
627,A,0,45,S,,0,D,SHEET,1.6,610.0,4880,0,3
628,R,0,0,S,3,0,E,SHEET,0.8,609.9,762,0,2
629,A,0,50,,,0,G,COIL,0.601,610.0,0,0,3
630,R,0,0,S,2,0,E,SHEET,0.699,1320.0,762,0,3
631,A,0,60,,,0,G,COIL,4.0,50.0,0,0,3
632,W,0,0,,,310,G,SHEET,2.5,1274.9,762,0,3
633,R,0,0,S,3,0,E,SHEET,1.599,150.0,762,0,2
634,W,0,0,,,310,G,COIL,0.8,609.9,0,0,3
635,A,0,0,S,2,0,F,SHEET,0.6,609.9,4880,0,3
636,A,0,45,S,,0,D,SHEET,1.6,1320.0,759,0,3
637,R,0,0,S,3,0,E,SHEET,1.601,830.0,881,0,2
638,A,0,0,S,2,0,E,COIL,1.6,60.0,0,0,3
639,A,0,70,,,0,G,COIL,0.801,1320.0,0,600,3
640,R,0,0,S,2,0,E,COIL,1.599,610.0,0,0,2
641,A,0,0,S,1,0,G,SHEET,0.3,1220.0,4170,0,3
642,R,0,0,S,2,0,E,SHEET,1.601,150.0,4880,0,3
643,A,0,60,,,0,G,COIL,1.001,1320.0,0,500,3
644,A,0,45,S,,0,D,SHEET,0.699,1320.0,4880,0,3
645,A,0,0,S,2,0,E,SHEET,0.3,1320.0,762,0,3
646,M,0,0,,,600,G,SHEET,1.299,1050.0,1220,0,2
647,A,0,0,S,2,0,F,SHEET,0.6,300.1,4880,0,3
648,A,0,0,,3,0,F,SHEET,0.6,1220.0,762,0,5
649,R,0,0,S,2,0,E,SHEET,0.699,610.0,761,0,3
650,A,0,0,S,1,0,G,SHEET,0.699,610.0,612,0,3
651,R,0,0,S,2,0,E,SHEET,1.6,609.9,762,0,3
652,A,0,45,S,,0,D,SHEET,0.699,1320.0,4880,0,3
653,A,0,0,S,5,0,E,COIL,1.2,610.0,0,0,3
654,W,0,0,,,310,G,SHEET,0.8,1275.0,762,0,3
655,R,0,0,S,2,0,E,SHEET,1.2,1320.0,611,0,3
656,R,0,0,S,3,0,E,SHEET,0.8,610.0,1,0,2
657,A,0,60,,,0,G,SHEET,0.8,255.0,270,0,3
658,A,8,0,S,,0,G,COIL,0.699,20.0,0,0,3
659,A,0,0,S,2,0,F,SHEET,0.6,520.0,0,0,3
660,A,0,45,S,,0,D,SHEET,0.4,610.0,300,0,3
661,A,0,45,S,,0,D,COIL,0.4,610.0,0,0,3
662,M,0,0,,,600,G,SHEET,0.9,610.0,3000,0,2
663,A,0,60,,,0,G,COIL,2.801,610.0,0,600,3
664,K,55,0,,,0,E,COIL,2.3,900.0,0,600,3
665,R,6,0,,,0,E,SHEET,0.6,1320.0,4880,0,3
666,A,0,0,,3,0,E,SHEET,1.6,610.0,4880,0,5
667,R,0,0,S,2,0,E,SHEET,1.2,610.0,4170,0,3
668,A,0,0,S,2,0,E,SHEET,1.599,1320.0,4880,0,3
669,A,0,0,S,1,0,G,SHEET,0.3,374.9,762,0,3
670,A,0,0,,3,0,E,COIL,0.6,609.9,0,0,5
671,A,0,50,,,0,E,SHEET,0.6,1250.0,4880,0,3
672,A,0,0,S,1,0,G,COIL,0.4,609.9,0,0,3
673,R,0,0,S,2,0,E,SHEET,0.699,610.0,4880,0,3
674,A,0,70,,,0,G,COIL,0.799,609.9,0,0,3
675,A,0,0,S,2,0,F,SHEET,0.699,519.9,762,0,3
676,R,0,0,S,2,0,E,SHEET,0.8,610.0,762,0,2
677,A,0,50,,,0,E,SHEET,0.601,1250.0,4880,0,3
678,R,0,0,S,2,0,E,COIL,0.4,610.0,0,0,3
679,A,0,0,A,2,0,G,COIL,0.3,1320.0,0,0,3
680,A,0,85,,,0,G,COIL,1.0,20.0,0,0,U
681,A,0,0,,3,0,E,COIL,1.6,610.0,0,0,5
682,M,0,0,,,600,G,SHEET,2.0,1320.0,4880,0,2
683,A,0,45,S,,0,D,SHEET,0.699,1320.0,760,0,3
684,K,55,0,,,0,E,COIL,2.3,640.0,0,600,3
685,A,0,0,A,2,0,G,COIL,3.2,1320.0,0,0,3
686,A,0,50,,,0,G,COIL,1.201,610.0,0,0,3
687,A,0,0,S,2,0,E,SHEET,0.3,1320.0,4880,0,3
688,R,0,0,S,3,0,E,SHEET,0.699,609.9,762,0,3
689,R,0,0,S,2,0,E,SHEET,0.8,610.0,4880,0,2
690,A,0,0,S,5,0,E,COIL,0.7,609.9,0,0,3
691,R,0,0,S,2,0,E,SHEET,0.4,1320.0,761,0,3
692,R,0,0,S,2,0,E,COIL,1.6,610.0,0,0,2
693,A,0,0,,3,0,F,SHEET,1.6,1220.0,761,0,5
694,A,0,0,S,2,0,F,SHEET,0.699,1220.0,4880,0,3
695,R,0,0,S,2,0,E,SHEET,1.599,1525.0,4170,0,2
696,A,0,0,S,2,0,E,COIL,1.6,610.0,0,0,3
697,R,6,0,,,0,G,COIL,0.5,610.0,0,0,3
698,A,0,0,S,2,0,G,COIL,0.3,610.0,0,0,3
699,A,0,0,S,2,0,E,SHEET,0.699,610.0,4880,0,3
700,A,0,0,,3,0,E,COIL,0.6,609.9,0,0,5
701,R,0,0,S,2,0,E,COIL,0.3,610.0,0,0,3
702,A,0,60,,,0,G,COIL,0.801,1320.0,0,600,3
703,A,0,0,,3,0,E,SHEET,1.6,610.0,762,0,5
704,A,0,50,,,0,E,SHEET,0.451,610.0,762,0,3
705,A,0,50,,,0,G,COIL,0.601,610.0,0,0,3
706,A,0,0,,3,0,E,COIL,0.6,609.9,0,0,5
707,R,0,0,S,3,0,E,SHEET,1.599,1320.0,762,0,2
708,A,0,0,,3,0,E,SHEET,1.6,335.0,612,0,5
709,A,0,45,S,,0,D,SHEET,0.3,610.0,761,0,3
710,A,0,0,S,2,0,E,SHEET,0.3,610.0,762,0,3
711,R,0,0,S,2,0,E,SHEET,0.4,1320.0,150,0,3
712,A,0,0,,,500,G,COIL,0.9,1320.0,0,0,3
713,A,0,70,,,0,G,COIL,0.8,610.0,0,0,3
714,R,0,0,S,3,0,E,COIL,0.8,609.9,0,0,2
715,A,0,70,,,0,G,COIL,0.799,609.0,0,0,3
716,R,0,0,A,2,0,G,COIL,0.699,609.9,0,0,3
717,A,0,0,S,2,0,E,SHEET,1.6,150.0,762,0,3
718,A,0,45,S,,0,D,COIL,0.7,1320.0,0,0,3
719,A,0,50,,,0,E,SHEET,0.4,1220.0,762,0,3
720,A,0,85,,,0,E,COIL,0.321,1220.0,0,0,U
721,W,0,0,,,310,G,SHEET,1.6,1274.9,4880,0,3
722,A,0,45,S,,0,D,SHEET,0.7,610.0,4880,0,3
723,A,0,0,S,2,0,E,COIL,1.6,606.9,0,0,3
724,R,0,0,S,2,0,E,SHEET,0.7,609.9,762,0,3
725,A,0,45,S,,0,D,COIL,0.699,610.0,0,0,3
726,R,0,0,S,3,0,E,COIL,0.8,20.0,0,0,2
727,K,55,0,,,0,G,COIL,1.0,900.0,0,0,3
728,A,0,0,,,500,G,SHEET,2.0,609.9,4880,0,2
729,R,0,0,S,2,0,E,SHEET,1.2,150.0,612,0,3
730,A,0,60,,,0,G,COIL,0.6,610.0,0,0,3
731,A,0,85,,,0,G,SHEET,1.2,1220.0,4880,0,U
732,S,70,0,,,0,E,SHEET,1.6,1320.0,762,0,3
733,A,0,50,,,0,G,COIL,1.201,1320.0,0,0,3
734,R,0,0,S,3,0,E,SHEET,1.6,1525.0,612,0,2
735,A,0,45,S,,0,D,SHEET,0.3,150.0,4880,0,3
736,A,0,0,,3,0,F,SHEET,0.6,335.0,1,0,5
737,A,0,0,S,2,0,G,SHEET,1.601,1300.0,762,0,3
738,R,0,0,S,2,0,E,SHEET,0.3,1320.0,762,0,3
739,R,0,0,S,3,0,E,SHEET,0.6,609.0,4880,0,3
740,R,0,0,S,2,0,E,COIL,0.7,1220.0,0,0,3
741,R,0,0,S,2,0,E,COIL,1.599,609.9,0,0,2
742,A,0,0,S,1,0,G,SHEET,0.3,595.0,4880,0,3
743,R,0,0,A,3,0,G,SHEET,0.7,1320.0,4880,0,3
744,R,0,0,S,2,0,E,COIL,1.6,610.0,0,0,3
745,R,0,0,S,3,0,E,COIL,0.8,75.0,0,0,3
746,V,0,0,S,2,0,E,COIL,0.8,609.9,0,0,3
747,R,0,0,S,2,0,E,SHEET,0.7,150.0,612,0,3
748,R,0,0,S,2,0,E,SHEET,0.7,150.0,762,0,3
749,A,0,0,,3,0,F,SHEET,1.6,1220.0,762,0,5
750,A,0,70,,,0,G,COIL,2.801,1000.0,0,600,3
751,R,0,0,A,3,0,G,COIL,0.6,1320.0,0,0,3
752,A,0,70,,,0,E,COIL,0.6,610.0,0,0,3
753,S,70,0,,,0,G,SHEET,2.5,610.0,4880,0,3
754,A,0,0,S,3,0,E,SHEET,1.2,609.9,4170,0,3
755,R,0,0,S,2,0,E,SHEET,0.7,609.9,762,0,3
756,R,0,0,S,2,0,E,SHEET,1.599,610.0,762,0,3
757,R,0,0,S,3,0,E,SHEET,0.601,609.9,612,0,3
758,R,0,0,S,2,0,E,SHEET,0.699,1320.0,4880,0,3
759,R,0,0,S,2,0,E,SHEET,1.2,610.0,4170,0,3
760,R,0,0,S,2,0,E,COIL,0.4,610.0,0,0,3
761,A,0,45,S,,0,D,SHEET,0.7,610.0,4880,0,3
762,A,0,0,S,2,0,F,SHEET,0.7,1220.0,762,0,3
763,R,0,0,S,2,0,E,COIL,0.4,609.9,0,0,3
764,A,0,0,S,2,0,G,SHEET,0.7,1300.0,4170,0,3
765,A,0,0,,3,0,E,COIL,0.8,50.0,0,0,5
766,K,65,0,,,0,E,COIL,1.1,610.0,0,0,3
767,R,0,0,S,2,0,E,SHEET,2.0,1500.0,4170,0,2
768,R,0,0,S,2,0,E,COIL,0.7,610.0,0,0,3
769,W,0,0,,,310,G,COIL,2.5,610.0,0,600,3
770,R,0,0,S,2,0,E,SHEET,1.2,609.9,4170,0,3
771,A,0,0,,3,0,F,SHEET,0.6,335.0,611,0,5
772,R,0,0,S,2,0,E,SHEET,3.2,1300.0,4880,0,3
773,A,0,0,S,2,0,F,SHEET,0.6,610.0,4880,0,3
774,A,0,0,S,2,0,G,SHEET,0.7,610.0,4880,0,3
775,A,0,0,S,2,0,E,COIL,0.699,610.0,0,0,3
776,A,0,0,S,1,0,G,SHEET,0.699,374.9,4880,0,3
777,R,0,0,S,3,0,E,SHEET,1.599,1320.0,4880,0,2
778,A,0,0,S,2,0,E,SHEET,0.3,610.0,4880,0,3
779,A,0,0,S,2,0,G,SHEET,0.4,610.0,762,0,3
780,R,0,0,S,2,0,E,SHEET,0.699,375.0,612,0,3
781,A,0,0,S,1,0,G,COIL,0.3,20.0,0,0,3
782,A,0,0,S,2,0,E,COIL,0.4,610.0,0,0,3
783,A,0,45,S,,0,D,SHEET,1.6,610.0,4880,0,3
784,R,0,0,S,2,0,E,SHEET,1.601,1320.0,4880,0,3
785,A,0,0,S,2,0,E,COIL,3.201,609.9,0,0,3
786,K,45,0,,,0,E,COIL,2.3,900.0,0,600,3
787,R,0,0,S,2,0,E,SHEET,3.2,150.0,762,0,3
788,V,0,0,S,2,0,G,SHEET,0.8,610.0,4880,0,2
789,A,0,0,A,1,0,E,COIL,0.8,250.0,0,0,5
790,R,0,0,S,2,0,E,SHEET,3.2,1300.0,4880,0,3
791,K,55,0,,,0,E,COIL,3.2,900.0,0,600,3
792,R,0,0,S,2,0,E,COIL,0.9,966.0,0,0,3
793,A,0,50,,,0,G,COIL,1.001,50.0,0,0,3
794,A,0,0,S,1,0,G,SHEET,0.699,1300.0,4880,0,3
795,A,0,0,S,2,0,E,COIL,0.4,609.9,0,0,3
796,A,0,0,S,2,0,G,SHEET,3.2,610.0,4880,0,3
797,R,0,0,S,2,0,E,SHEET,1.599,1500.0,4170,0,2
